iter	Passed	Remaining
0	3	3145
1	5	2630
2	6	2261
3	8	2002
4	9	1877
5	10	1736
6	11	1656
7	12	1603
8	14	1551
9	15	1503
10	16	1495
11	18	1493
12	19	1470
13	20	1434
14	21	1406
15	22	1379
16	23	1356
17	24	1339
18	25	1320
19	27	1344
20	28	1332
21	30	1374
22	31	1356
23	32	1340
24	33	1321
25	34	1301
26	35	1284
27	36	1272
28	37	1263
29	38	1253
30	39	1246
31	41	1247
32	42	1245
33	43	1239
34	44	1233
35	46	1232
36	47	1239
37	49	1240
38	50	1234
39	51	1233
40	52	1229
41	53	1224
42	54	1221
43	56	1219
44	57	1212
45	58	1207
46	59	1200
47	60	1197
48	61	1193
49	63	1204
50	64	1201
51	65	1195
52	66	1190
53	67	1184
54	68	1179
55	69	1178
56	71	1176
57	72	1172
58	73	1167
59	74	1172
60	75	1168
61	77	1166
62	78	1160
63	79	1155
64	80	1152
65	81	1146
66	81	1140
67	82	1133
68	83	1130
69	84	1128
70	86	1126
71	87	1124
72	88	1121
73	89	1117
74	90	1112
75	91	1109
76	92	1104
77	93	1099
78	94	1099
79	95	1095
80	96	1094
81	97	1090
82	98	1082
83	99	1080
84	100	1078
85	101	1078
86	102	1074
87	103	1070
88	104	1068
89	105	1065
90	106	1068
91	107	1064
92	108	1061
93	109	1058
94	110	1055
95	111	1053
96	112	1051
97	114	1051
98	115	1050
99	116	1048
100	117	1045
101	119	1048
102	120	1045
103	121	1043
104	121	1039
105	122	1037
106	124	1035
107	125	1035
108	126	1034
109	127	1033
110	128	1032
111	129	1030
112	132	1036
113	133	1033
114	133	1030
115	134	1028
116	135	1023
117	136	1020
118	138	1022
119	139	1021
120	140	1019
121	141	1017
122	142	1016
123	143	1014
124	144	1013
125	146	1013
126	147	1011
127	148	1010
128	151	1020
129	152	1018
130	153	1016
131	154	1013
132	155	1011
133	156	1009
134	157	1009
135	158	1009
136	160	1009
137	161	1008
138	162	1006
139	163	1005
140	164	1002
141	165	999
142	166	998
143	167	996
144	168	993
145	170	996
146	171	994
147	172	993
148	173	991
149	175	994
150	177	996
151	178	995
152	179	994
153	180	992
154	182	992
155	183	991
156	184	990
157	185	987
158	186	985
159	187	984
160	188	981
161	189	980
162	190	979
163	192	978
164	193	977
165	194	977
166	195	977
167	197	975
168	198	974
169	199	974
170	200	971
171	201	969
172	202	968
173	203	967
174	205	966
175	206	969
176	208	967
177	209	965
178	210	963
179	211	961
180	211	958
181	213	958
182	214	957
183	215	956
184	216	954
185	217	952
186	219	953
187	220	953
188	222	953
189	223	951
190	224	952
191	226	952
192	227	951
193	228	949
194	229	947
195	230	945
196	231	943
197	232	941
198	233	941
199	235	940
200	236	939
201	237	937
202	238	937
203	239	935
204	240	933
205	241	931
206	242	929
207	243	927
208	245	928
209	246	926
210	247	925
211	248	924
212	249	923
213	251	922
214	252	921
215	254	922
216	255	920
217	255	918
218	256	915
219	257	913
220	258	912
221	259	911
222	260	908
223	261	906
224	263	906
225	264	905
226	265	903
227	266	903
228	267	902
229	269	900
230	270	899
231	271	898
232	272	896
233	273	894
234	274	893
235	275	890
236	276	888
237	277	887
238	278	886
239	279	885
240	280	884
241	282	883
242	283	882
243	284	881
